voxel,x,y,z,visual_cortex,early_visual,higher_visual,V1,V2,V3,V4
107,14,25,44,True,False,True,False,False,False,False
108,14,25,45,True,False,True,False,False,False,False
109,14,26,43,True,False,True,False,False,False,False
110,14,26,44,True,False,True,False,False,False,False
111,15,17,43,True,False,True,False,False,False,False
112,15,17,44,True,False,True,False,False,False,False
113,15,17,45,True,False,True,False,False,False,False
114,15,17,46,True,False,True,False,False,False,False
115,15,17,47,True,False,True,False,False,False,False
116,15,17,48,True,False,True,False,False,False,False
117,15,18,43,True,False,True,False,False,False,False
118,15,18,44,True,False,True,False,False,False,False
119,15,18,45,True,False,True,False,False,False,False
120,15,18,46,True,False,True,False,False,False,False
121,15,18,47,True,False,True,False,False,False,False
122,15,18,48,True,False,True,False,False,False,False
123,15,18,49,True,False,True,False,False,False,False
124,15,19,43,True,False,True,False,False,False,False
125,15,19,44,True,False,True,False,False,False,False
126,15,19,45,True,False,True,False,False,False,False
127,15,19,46,True,False,True,False,False,False,False
128,15,19,47,True,False,True,False,False,False,False
129,15,19,48,True,False,True,False,False,False,False
130,15,19,49,True,False,True,False,False,False,False
131,15,20,44,True,False,True,False,False,False,False
132,15,20,45,True,False,True,False,False,False,False
133,15,20,46,True,False,True,False,False,False,False
134,15,20,48,True,False,True,False,False,False,False
135,15,20,49,True,False,True,False,False,False,False
136,15,20,51,True,False,True,False,False,False,False
137,15,21,43,True,False,True,False,False,False,False
138,15,21,44,True,False,True,False,False,False,False
139,15,21,45,True,False,True,False,False,False,False
140,15,21,46,True,False,True,False,False,False,False
141,15,21,48,True,False,True,False,False,False,False
142,15,21,49,True,False,True,False,False,False,False
143,15,21,51,True,False,True,False,False,False,False
144,15,22,43,True,False,True,False,False,False,False
145,15,22,44,True,False,True,False,False,False,False
146,15,22,48,True,False,True,False,False,False,False
147,15,22,49,True,False,True,False,False,False,False
148,15,22,50,True,False,True,False,False,False,False
149,15,22,51,True,False,True,False,False,False,False
150,15,23,43,True,False,True,False,False,False,False
151,15,23,45,True,False,True,False,False,False,False
152,15,23,46,True,False,True,False,False,False,False
153,15,23,47,True,False,True,False,False,False,False
154,15,23,50,True,False,True,False,False,False,False
155,15,23,51,True,False,True,False,False,False,False
156,15,24,43,True,False,True,False,False,False,False
157,15,24,45,True,False,True,False,False,False,False
158,15,24,46,True,False,True,False,False,False,False
159,15,24,47,True,False,True,False,False,False,False
160,15,24,48,True,False,True,False,False,False,False
161,15,24,49,True,False,True,False,False,False,False
162,15,24,50,True,False,True,False,False,False,False
163,15,24,51,True,False,True,False,False,False,False
164,15,25,41,True,False,True,False,False,False,False
165,15,25,42,True,False,True,False,False,False,False
166,15,25,43,True,False,True,False,False,False,False
167,15,25,44,True,False,True,False,False,False,False
168,15,25,45,True,False,True,False,False,False,False
169,15,25,49,True,False,True,False,False,False,False
170,15,26,41,True,False,True,False,False,False,False
171,15,26,43,True,False,True,False,False,False,False
172,15,26,44,True,False,True,False,False,False,False
173,15,26,45,True,False,True,False,False,False,False
174,15,27,41,True,False,True,False,False,False,False
175,15,27,42,True,False,True,False,False,False,False
176,15,27,44,True,False,True,False,False,False,False
177,15,28,42,True,False,True,False,False,False,False
178,16,16,42,True,False,True,False,False,False,False
179,16,16,43,True,False,True,False,False,False,False
180,16,16,44,True,False,True,False,False,False,False
181,16,16,46,True,False,True,False,False,False,False
182,16,16,47,True,False,True,False,False,False,False
183,16,16,48,True,False,True,False,False,False,False
184,16,17,37,True,False,True,False,False,False,False
185,16,17,38,True,False,True,False,False,False,False
186,16,17,42,True,False,True,False,False,False,False
187,16,17,43,True,False,True,False,False,False,False
188,16,17,44,True,False,True,False,False,False,False
189,16,17,45,True,False,True,False,False,False,False
190,16,17,46,True,False,True,False,False,False,False
191,16,17,47,True,False,True,False,False,False,False
192,16,17,48,True,False,True,False,False,False,False
193,16,18,36,True,False,True,False,False,False,False
194,16,18,37,True,False,True,False,False,False,False
195,16,18,38,True,False,True,False,False,False,False
196,16,18,39,True,False,True,False,False,False,False
197,16,18,42,True,False,True,False,False,False,False
198,16,18,43,True,False,True,False,False,False,False
199,16,18,44,True,False,True,False,False,False,False
200,16,18,47,True,False,True,False,False,False,False
201,16,18,48,True,False,True,False,False,False,False
202,16,19,35,True,False,True,False,False,False,False
203,16,19,36,True,False,True,False,False,False,False
204,16,19,37,True,False,True,False,False,False,False
205,16,19,38,True,False,True,False,False,False,False
206,16,19,42,True,False,True,False,False,False,False
207,16,19,43,True,False,True,False,False,False,False
208,16,19,44,True,False,True,False,False,False,False
209,16,19,45,True,False,True,False,False,False,False
210,16,19,46,True,False,True,False,False,False,False
211,16,19,48,True,False,True,False,False,False,False
212,16,19,49,True,False,True,False,False,False,False
213,16,19,51,True,False,True,False,False,False,False
214,16,20,35,True,False,True,False,False,False,False
215,16,20,36,True,False,True,False,False,False,False
216,16,20,37,True,False,True,False,False,False,False
217,16,20,38,True,False,True,False,False,False,False
218,16,20,45,True,False,True,False,False,False,False
219,16,20,46,True,False,True,False,False,False,False
220,16,20,48,True,False,True,False,False,False,False
221,16,20,49,True,False,True,False,False,False,False
222,16,20,51,True,False,True,False,False,False,False
223,16,20,52,True,False,True,False,False,False,False
224,16,21,36,True,False,True,False,False,False,False
225,16,21,37,True,False,True,False,False,False,False
226,16,21,38,True,False,True,False,False,False,False
227,16,21,43,True,False,True,False,False,False,False
228,16,21,44,True,False,True,False,False,False,False
229,16,21,45,True,False,True,False,False,False,False
230,16,21,46,True,False,True,False,False,False,False
231,16,21,48,True,False,True,False,False,False,False
232,16,21,49,True,False,True,False,False,False,False
233,16,21,50,True,False,True,False,False,False,False
234,16,21,51,True,False,True,False,False,False,False
235,16,22,43,True,False,True,False,False,False,False
236,16,22,44,True,False,True,False,False,False,False
237,16,22,48,True,False,True,False,False,False,False
238,16,22,49,True,False,True,False,False,False,False
239,16,22,50,True,False,True,False,False,False,False
240,16,23,43,True,False,True,False,False,False,False
241,16,23,44,True,False,True,False,False,False,False
242,16,23,45,True,False,True,False,False,False,False
243,16,23,46,True,False,True,False,False,False,False
244,16,23,47,True,False,True,False,False,False,False
245,16,24,43,True,False,True,False,False,False,False
246,16,24,45,True,False,True,False,False,False,False
247,16,24,46,True,False,True,False,False,False,False
248,16,24,47,True,False,True,False,False,False,False
249,16,24,48,True,False,True,False,False,False,False
250,16,24,49,True,False,True,False,False,False,False
251,16,25,41,True,False,True,False,False,False,False
252,16,25,42,True,False,True,False,False,False,False
253,16,25,43,True,False,True,False,False,False,False
254,16,25,45,True,False,True,False,False,False,False
255,16,25,49,True,False,True,False,False,False,False
256,16,26,41,True,False,True,False,False,False,False
257,16,26,43,True,False,True,False,False,False,False
258,16,26,44,True,False,True,False,False,False,False
259,16,26,45,True,False,True,False,False,False,False
260,16,27,41,True,False,True,False,False,False,False
261,16,27,42,True,False,True,False,False,False,False
262,16,27,43,True,False,True,False,False,False,False
263,16,27,44,True,False,True,False,False,False,False
264,16,28,42,True,False,True,False,False,False,False
265,16,28,43,True,False,True,False,False,False,False
266,16,28,44,True,False,True,False,False,False,False
267,16,29,34,True,False,True,False,False,False,False
268,16,30,33,True,False,True,False,False,False,False
269,16,30,34,True,False,True,False,False,False,False
270,16,31,32,True,False,True,False,False,False,False
271,16,31,33,True,False,True,False,False,False,False
272,16,32,30,True,False,True,False,False,False,False
273,16,32,31,True,False,True,False,False,False,False
274,16,32,32,True,False,True,False,False,False,False
275,16,32,33,True,False,True,False,False,False,False
276,16,33,29,True,False,True,False,False,False,False
277,16,33,30,True,False,True,False,False,False,False
278,16,33,31,True,False,True,False,False,False,False
279,16,33,32,True,False,True,False,False,False,False
280,16,33,33,True,False,True,False,False,False,False
281,17,15,38,True,False,True,False,False,False,False
282,17,15,39,True,False,True,False,False,False,False
283,17,15,42,True,False,True,False,False,False,False
284,17,15,43,True,False,True,False,False,False,False
285,17,15,44,True,False,True,False,False,False,False
286,17,15,45,True,False,True,False,False,False,False
287,17,15,47,True,False,True,False,False,False,False
288,17,15,48,True,False,True,False,False,False,False
289,17,15,49,True,False,True,False,False,False,False
290,17,16,36,True,False,True,False,False,False,False
291,17,16,37,True,False,True,False,False,False,False
292,17,16,38,True,False,True,False,False,False,False
293,17,16,39,True,False,True,False,False,False,False
294,17,16,42,True,False,True,False,False,False,False
295,17,16,43,True,False,True,False,False,False,False
296,17,16,44,True,False,True,False,False,False,False
297,17,16,45,True,False,True,False,False,False,False
298,17,16,46,True,False,True,False,False,False,False
299,17,16,47,True,False,True,False,False,False,False
300,17,16,48,True,False,True,False,False,False,False
301,17,16,49,True,False,True,False,False,False,False
302,17,16,50,True,False,True,False,False,False,False
303,17,17,35,True,False,True,False,False,False,False
304,17,17,36,True,False,True,False,False,False,False
305,17,17,37,True,False,True,False,False,False,False
306,17,17,38,True,False,True,False,False,False,False
307,17,17,39,True,False,True,False,False,False,False
308,17,17,41,True,False,True,False,False,False,False
309,17,17,42,True,False,True,False,False,False,False
310,17,17,43,True,False,True,False,False,False,False
311,17,17,44,True,False,True,False,False,False,False
312,17,17,45,True,False,True,False,False,False,False
313,17,17,46,True,False,True,False,False,False,False
314,17,17,47,True,False,True,False,False,False,False
315,17,17,48,True,False,True,False,False,False,False
316,17,17,49,True,False,True,False,False,False,False
317,17,17,50,True,False,True,False,False,False,False
318,17,18,34,True,False,True,False,False,False,False
319,17,18,35,True,False,True,False,False,False,False
320,17,18,36,True,False,True,False,False,False,False
321,17,18,37,True,False,True,False,False,False,False
322,17,18,38,True,False,True,False,False,False,False
323,17,18,39,True,False,True,False,False,False,False
324,17,18,40,True,False,True,False,False,False,False
325,17,18,41,True,False,True,False,False,False,False
326,17,18,42,True,False,True,False,False,False,False
327,17,18,48,True,False,True,False,False,False,False
328,17,18,49,True,False,True,False,False,False,False
329,17,18,50,True,False,True,False,False,False,False
330,17,19,34,True,False,True,False,False,False,False
331,17,19,35,True,False,True,False,False,False,False
332,17,19,36,True,False,True,False,False,False,False
333,17,19,37,True,False,True,False,False,False,False
334,17,19,38,True,False,True,False,False,False,False
335,17,19,39,True,False,True,False,False,False,False
336,17,19,40,True,False,True,False,False,False,False
337,17,19,41,True,False,True,False,False,False,False
338,17,19,42,True,False,True,False,False,False,False
339,17,19,43,True,False,True,False,False,False,False
340,17,19,44,True,False,True,False,False,False,False
341,17,19,45,True,False,True,False,False,False,False
342,17,19,46,True,False,True,False,False,False,False
343,17,19,48,True,False,True,False,False,False,False
344,17,19,49,True,False,True,False,False,False,False
345,17,19,51,True,False,True,False,False,False,False
346,17,19,52,True,False,True,False,False,False,False
347,17,20,35,True,False,True,False,False,False,False
348,17,20,36,True,False,True,False,False,False,False
349,17,20,37,True,False,True,False,False,False,False
350,17,20,38,True,False,True,False,False,False,False
351,17,20,39,True,False,True,False,False,False,False
352,17,20,42,True,False,True,False,False,False,False
353,17,20,43,True,False,True,False,False,False,False
354,17,20,45,True,False,True,False,False,False,False
355,17,20,46,True,False,True,False,False,False,False
356,17,20,48,True,False,True,False,False,False,False
357,17,20,49,True,False,True,False,False,False,False
358,17,20,50,True,False,True,False,False,False,False
359,17,20,51,True,False,True,False,False,False,False
360,17,20,52,True,False,True,False,False,False,False
361,17,21,36,True,False,True,False,False,False,False
362,17,21,37,True,False,True,False,False,False,False
363,17,21,38,True,False,True,False,False,False,False
364,17,21,44,True,False,True,False,False,False,False
365,17,21,45,True,False,True,False,False,False,False
366,17,21,46,True,False,True,False,False,False,False
367,17,21,48,True,False,True,False,False,False,False
368,17,21,49,True,False,True,False,False,False,False
369,17,21,50,True,False,True,False,False,False,False
370,17,21,51,True,False,True,False,False,False,False
371,17,22,34,True,False,True,False,False,False,False
372,17,22,36,True,False,True,False,False,False,False
373,17,22,37,True,False,True,False,False,False,False
374,17,22,38,True,False,True,False,False,False,False
375,17,22,43,True,False,True,False,False,False,False
376,17,22,44,True,False,True,False,False,False,False
377,17,22,48,True,False,True,False,False,False,False
378,17,22,49,True,False,True,False,False,False,False
379,17,22,50,True,False,True,False,False,False,False
380,17,23,41,True,False,True,False,False,False,False
381,17,23,42,True,False,True,False,False,False,False
382,17,23,43,True,False,True,False,False,False,False
383,17,23,44,True,False,True,False,False,False,False
384,17,23,45,True,False,True,False,False,False,False
385,17,23,46,True,False,True,False,False,False,False
386,17,23,47,True,False,True,False,False,False,False
387,17,24,41,True,False,True,False,False,False,False
388,17,24,42,True,False,True,False,False,False,False
389,17,24,43,True,False,True,False,False,False,False
390,17,24,45,True,False,True,False,False,False,False
391,17,24,46,True,False,True,False,False,False,False
392,17,24,47,True,False,True,False,False,False,False
393,17,24,48,True,False,True,False,False,False,False
394,17,25,30,True,False,True,False,False,False,False
395,17,25,41,True,False,True,False,False,False,False
396,17,25,42,True,False,True,False,False,False,False
397,17,25,43,True,False,True,False,False,False,False
398,17,26,30,True,False,True,False,False,False,False
399,17,26,31,True,False,True,False,False,False,False
400,17,26,41,True,False,True,False,False,False,False
401,17,26,42,True,False,True,False,False,False,False
402,17,26,43,True,False,True,False,False,False,False
403,17,27,41,True,False,True,False,False,False,False
404,17,27,42,True,False,True,False,False,False,False
405,17,27,43,True,False,True,False,False,False,False
406,17,28,31,True,False,True,False,False,False,False
407,17,28,32,True,False,True,False,False,False,False
408,17,28,37,True,False,True,False,False,False,False
409,17,28,42,True,False,True,False,False,False,False
410,17,28,43,True,False,True,False,False,False,False
411,17,29,31,True,False,True,False,False,False,False
412,17,29,32,True,False,True,False,False,False,False
413,17,29,33,True,False,True,False,False,False,False
414,17,29,34,True,False,True,False,False,False,False
415,17,29,35,True,False,True,False,False,False,False
416,17,30,30,True,False,True,False,False,False,False
417,17,30,31,True,False,True,False,False,False,False
418,17,30,32,True,False,True,False,False,False,False
419,17,30,33,True,False,True,False,False,False,False
420,17,30,34,True,False,True,False,False,False,False
421,17,31,29,True,False,True,False,False,False,False
422,17,31,30,True,False,True,False,False,False,False
423,17,31,31,True,False,True,False,False,False,False
424,17,31,32,True,False,True,False,False,False,False
425,17,31,33,True,False,True,False,False,False,False
426,17,31,34,True,False,True,False,False,False,False
427,17,32,29,True,False,True,False,False,False,False
428,17,32,30,True,False,True,False,False,False,False
429,17,32,31,True,False,True,False,False,False,False
430,17,32,32,True,False,True,False,False,False,False
431,17,32,33,True,False,True,False,False,False,False
432,17,32,34,True,False,True,False,False,False,False
433,17,33,30,True,False,True,False,False,False,False
434,17,33,31,True,False,True,False,False,False,False
435,17,33,32,True,False,True,False,False,False,False
436,17,33,33,True,False,True,False,False,False,False
437,17,33,34,True,False,True,False,False,False,False
438,18,13,39,True,False,True,False,False,False,False
439,18,13,40,True,False,True,False,False,False,False
440,18,14,37,True,False,True,False,False,False,False
441,18,14,38,True,False,True,False,False,False,False
442,18,14,39,True,False,True,False,False,False,False
443,18,14,40,True,False,True,False,False,False,False
444,18,14,43,True,False,True,False,False,False,False
445,18,14,44,True,False,True,False,False,False,False
446,18,14,45,True,False,True,False,False,False,False
447,18,14,48,True,False,True,False,False,False,False
448,18,15,36,True,False,True,False,False,False,False
449,18,15,37,True,False,True,False,False,False,False
450,18,15,38,True,False,True,False,False,False,False
451,18,15,39,True,False,True,False,False,False,False
452,18,15,40,True,False,True,False,False,False,False
453,18,15,42,True,False,True,False,False,False,False
454,18,15,43,True,False,True,False,False,False,False
455,18,15,44,True,False,True,False,False,False,False
456,18,15,45,True,False,True,False,False,False,False
457,18,15,47,True,False,True,False,False,False,False
458,18,15,48,True,False,True,False,False,False,False
459,18,15,49,True,False,True,False,False,False,False
460,18,15,50,True,False,True,False,False,False,False
461,18,15,51,True,False,True,False,False,False,False
462,18,16,34,True,False,True,False,False,False,False
463,18,16,35,True,False,True,False,False,False,False
464,18,16,36,True,False,True,False,False,False,False
465,18,16,37,True,False,True,False,False,False,False
466,18,16,38,True,False,True,False,False,False,False
467,18,16,39,True,False,True,False,False,False,False
468,18,16,40,True,False,True,False,False,False,False
469,18,16,42,True,False,True,False,False,False,False
470,18,16,43,True,False,True,False,False,False,False
471,18,16,44,True,False,True,False,False,False,False
472,18,16,45,True,False,True,False,False,False,False
473,18,16,46,True,False,True,False,False,False,False
474,18,16,47,True,False,True,False,False,False,False
475,18,16,48,True,False,True,False,False,False,False
476,18,16,49,True,False,True,False,False,False,False
477,18,16,50,True,False,True,False,False,False,False
478,18,16,51,True,False,True,False,False,False,False
479,18,17,33,True,False,True,False,False,False,False
480,18,17,34,True,False,True,False,False,False,False
481,18,17,35,True,False,True,False,False,False,False
482,18,17,36,True,False,True,False,False,False,False
483,18,17,37,True,False,True,False,False,False,False
484,18,17,38,True,False,True,False,False,False,False
485,18,17,39,True,False,True,False,False,False,False
486,18,17,42,True,False,True,False,False,False,False
487,18,17,43,True,False,True,False,False,False,False
488,18,17,45,True,False,True,False,False,False,False
489,18,17,46,True,False,True,False,False,False,False
490,18,17,48,True,False,True,False,False,False,False
491,18,17,49,True,False,True,False,False,False,False
492,18,17,50,True,False,True,False,False,False,False
493,18,17,51,True,False,True,False,False,False,False
494,18,18,33,True,False,True,False,False,False,False
495,18,18,34,True,False,True,False,False,False,False
496,18,18,35,True,False,True,False,False,False,False
497,18,18,36,True,False,True,False,False,False,False
498,18,18,39,True,False,True,False,False,False,False
499,18,18,40,True,False,True,False,False,False,False
500,18,18,41,True,False,True,False,False,False,False
501,18,18,42,True,False,True,False,False,False,False
502,18,18,48,True,False,True,False,False,False,False
503,18,18,49,True,False,True,False,False,False,False
504,18,18,50,True,False,True,False,False,False,False
505,18,18,51,True,False,True,False,False,False,False
506,18,19,34,True,False,True,False,False,False,False
507,18,19,35,True,False,True,False,False,False,False
508,18,19,36,True,False,True,False,False,False,False
509,18,19,38,True,False,True,False,False,False,False
510,18,19,39,True,False,True,False,False,False,False
511,18,19,40,True,False,True,False,False,False,False
512,18,19,41,True,False,True,False,False,False,False
513,18,19,42,True,False,True,False,False,False,False
514,18,19,43,True,False,True,False,False,False,False
515,18,19,44,True,False,True,False,False,False,False
516,18,19,45,True,False,True,False,False,False,False
517,18,19,46,True,False,True,False,False,False,False
518,18,19,48,True,False,True,False,False,False,False
519,18,19,49,True,False,True,False,False,False,False
520,18,19,50,True,False,True,False,False,False,False
521,18,19,51,True,False,True,False,False,False,False
522,18,19,52,True,False,True,False,False,False,False
523,18,20,33,True,False,True,False,False,False,False
524,18,20,34,True,False,True,False,False,False,False
525,18,20,35,True,False,True,False,False,False,False
526,18,20,36,True,False,True,False,False,False,False
527,18,20,38,True,False,True,False,False,False,False
528,18,20,39,True,False,True,False,False,False,False
529,18,20,42,True,False,True,False,False,False,False
530,18,20,43,True,False,True,False,False,False,False
531,18,20,44,True,False,True,False,False,False,False
532,18,20,45,True,False,True,False,False,False,False
533,18,20,46,True,False,True,False,False,False,False
534,18,20,48,True,False,True,False,False,False,False
535,18,20,49,True,False,True,False,False,False,False
536,18,20,50,True,False,True,False,False,False,False
537,18,20,51,True,False,True,False,False,False,False
538,18,20,52,True,False,True,False,False,False,False
539,18,21,32,True,False,True,False,False,False,False
540,18,21,33,True,False,True,False,False,False,False
541,18,21,34,True,False,True,False,False,False,False
542,18,21,35,True,False,True,False,False,False,False
543,18,21,36,True,False,True,False,False,False,False
544,18,21,37,True,False,True,False,False,False,False
545,18,21,38,True,False,True,False,False,False,False
546,18,21,39,True,False,True,False,False,False,False
547,18,21,44,True,False,True,False,False,False,False
548,18,21,45,True,False,True,False,False,False,False
549,18,21,46,True,False,True,False,False,False,False
550,18,21,48,True,False,True,False,False,False,False
551,18,21,49,True,False,True,False,False,False,False
552,18,21,50,True,False,True,False,False,False,False
553,18,21,51,True,False,True,False,False,False,False
554,18,22,32,True,False,True,False,False,False,False
555,18,22,33,True,False,True,False,False,False,False
556,18,22,34,True,False,True,False,False,False,False
557,18,22,35,True,False,True,False,False,False,False
558,18,22,36,True,False,True,False,False,False,False
559,18,22,37,True,False,True,False,False,False,False
560,18,22,38,True,False,True,False,False,False,False
561,18,22,42,True,False,True,False,False,False,False
562,18,22,43,True,False,True,False,False,False,False
563,18,22,44,True,False,True,False,False,False,False
564,18,22,45,True,False,True,False,False,False,False
565,18,22,48,True,False,True,False,False,False,False
566,18,22,49,True,False,True,False,False,False,False
567,18,22,50,True,False,True,False,False,False,False
568,18,23,32,True,False,True,False,False,False,False
569,18,23,33,True,False,True,False,False,False,False
570,18,23,34,True,False,True,False,False,False,False
571,18,23,35,True,False,True,False,False,False,False
572,18,23,36,True,False,True,False,False,False,False
573,18,23,37,True,False,True,False,False,False,False
574,18,23,38,True,False,True,False,False,False,False
575,18,23,41,True,False,True,False,False,False,False
576,18,23,42,True,False,True,False,False,False,False
577,18,23,43,True,False,True,False,False,False,False
578,18,23,44,True,False,True,False,False,False,False
579,18,24,30,True,False,True,False,False,False,False
580,18,24,31,True,False,True,False,False,False,False
581,18,24,32,True,False,True,False,False,False,False
582,18,24,33,True,False,True,False,False,False,False
583,18,24,34,True,False,True,False,False,False,False
584,18,24,35,True,False,True,False,False,False,False
585,18,24,41,True,False,True,False,False,False,False
586,18,24,42,True,False,True,False,False,False,False
587,18,24,43,True,False,True,False,False,False,False
588,18,25,29,True,False,True,False,False,False,False
589,18,25,30,True,False,True,False,False,False,False
590,18,25,31,True,False,True,False,False,False,False
591,18,25,32,True,False,True,False,False,False,False
592,18,25,34,True,False,True,False,False,False,False
593,18,25,35,True,False,True,False,False,False,False
594,18,25,41,True,False,True,False,False,False,False
595,18,25,42,True,False,True,False,False,False,False
596,18,25,43,True,False,True,False,False,False,False
597,18,26,29,True,False,True,False,False,False,False
598,18,26,30,True,False,True,False,False,False,False
599,18,26,31,True,False,True,False,False,False,False
600,18,26,32,True,False,True,False,False,False,False
601,18,26,41,True,False,True,False,False,False,False
602,18,26,42,True,False,True,False,False,False,False
603,18,26,43,True,False,True,False,False,False,False
604,18,27,29,True,False,True,False,False,False,False
605,18,27,30,True,False,True,False,False,False,False
606,18,27,31,True,False,True,False,False,False,False
607,18,27,32,True,False,True,False,False,False,False
608,18,27,38,True,False,True,False,False,False,False
609,18,27,40,True,False,True,False,False,False,False
610,18,27,41,True,False,True,False,False,False,False
611,18,27,42,True,False,True,False,False,False,False
612,18,27,43,True,False,True,False,False,False,False
613,18,28,30,True,False,True,False,False,False,False
614,18,28,31,True,False,True,False,False,False,False
615,18,28,32,True,False,True,False,False,False,False
616,18,28,33,True,False,True,False,False,False,False
617,18,28,34,True,False,True,False,False,False,False
618,18,28,35,True,False,True,False,False,False,False
619,18,28,36,True,False,True,False,False,False,False
620,18,28,37,True,False,True,False,False,False,False
621,18,29,30,True,False,True,False,False,False,False
622,18,29,31,True,False,True,False,False,False,False
623,18,29,32,True,False,True,False,False,False,False
624,18,29,33,True,False,True,False,False,False,False
625,18,29,34,True,False,True,False,False,False,False
626,18,29,35,True,False,True,False,False,False,False
627,18,29,36,True,False,True,False,False,False,False
628,18,29,37,True,False,True,False,False,False,False
629,18,30,29,True,False,True,False,False,False,False
630,18,30,30,True,False,True,False,False,False,False
631,18,30,31,True,False,True,False,False,False,False
